Datetime,Indoor Temperature,Indoor Humidity,CO2 Levels,Predicted Satisfaction
3/13/12 11:45,19.00496897,46.09674138,194.4319985,95.54327474
3/13/12 12:00,19.50496897,46.09674138,194.4319985,96.27110707
3/13/12 12:15,19.50448276,46.01963448,194.4319985,96.26362306
3/13/12 12:30,19.70068966,46.05301034,194.4319985,96.43072005
3/13/12 12:45,19.88517241,46.17882759,194.4319985,96.45666057
3/13/12 13:00,20.04931034,46.2201,194.4319985,96.52079145
3/13/12 13:15,20.19862069,46.26534483,194.4319985,97.0441864
3/13/12 13:30,20.33689655,46.26206552,194.4319985,97.20612504
3/13/12 13:45,20.47965517,46.21521379,194.4319985,97.17409503
3/13/12 14:00,20.62137931,46.23876897,194.4319985,97.64034231
3/13/12 14:15,20.73206897,46.27154138,194.4319985,98.05052022
3/13/12 14:30,20.85137931,46.2566,194.4319985,97.73537668
3/13/12 14:45,20.96482759,46.21148966,194.4319985,98.06156931
3/13/12 15:00,21.06413793,46.2652,194.4319985,96.78517265
3/13/12 15:15,21.14931034,46.37734138,194.4319985,97.1322496
3/13/12 15:30,21.23551724,46.4142069,194.4319985,97.27719079
3/13/12 15:45,21.29586207,46.3491931,194.4319985,97.39211663
3/13/12 16:00,21.79586207,46.3491931,194.4319985,97.47993779
3/13/12 16:15,21.41448276,46.29507931,194.4319985,97.06204048
3/13/12 16:30,21.45862069,46.27871379,194.4319985,97.12779683
3/13/12 16:45,21.49310345,46.03958966,194.4319985,97.82146416
3/13/12 17:00,21.51275862,45.91535517,194.4319985,97.82975625
3/13/12 17:15,21.53517241,45.81232414,194.4319985,98.00996396
3/13/12 17:30,21.53793103,45.77043448,194.4319985,97.92121102
3/13/12 17:45,21.51827586,45.90997241,194.4319985,97.82975625
3/13/12 18:00,21.50344828,46.08146897,194.4319985,97.80785837
3/13/12 18:15,21.49482759,46.20956552,194.4319985,97.14603588
3/13/12 18:30,21.48241379,46.46505172,194.4319985,96.36977844
3/13/12 18:45,21.43896552,46.76808621,194.4319985,96.30352117
3/13/12 19:00,21.40172414,47.0514931,194.4319985,96.25786985
3/13/12 19:15,21.35310345,47.27236897,194.4319985,96.12948433
3/13/12 19:30,21.29103448,47.44519655,194.4319985,96.13256108
3/13/12 19:45,21.2237931,47.55397931,194.4319985,95.87753785
3/13/12 20:00,21.14103448,47.72483103,194.4319985,95.54330201
3/13/12 20:15,21.04551724,47.82170345,194.4319985,96.38457201
3/13/12 20:30,20.95965517,47.9308,194.4319985,96.51557408
3/13/12 20:45,20.85034483,48.03011379,194.4319985,95.62643671
3/13/12 21:00,20.73034483,48.09173448,194.4319985,95.71088933
3/13/12 21:15,20.59862069,48.11374828,194.4319985,95.66022792
3/13/12 21:30,20.45724138,48.12198276,194.4319985,95.58200059
3/13/12 21:45,20.30586207,48.18837241,194.4319985,95.61556157
3/13/12 22:00,20.14448276,48.17135172,194.4319985,95.69645189
3/13/12 22:15,19.98586207,48.12551034,194.4319985,95.52497007
3/13/12 22:30,19.8137931,48.09595862,194.4319985,95.57662721
3/13/12 22:45,19.61655172,48.08403793,194.4319985,95.50354682
3/13/12 23:00,19.43068966,48.05066552,194.4319985,95.74851573
3/13/12 23:15,19.23,48.05880345,194.4319985,95.77003298
3/13/12 23:30,19.03172414,48.02211724,194.4319985,95.7857149
3/13/12 23:45,18.80758621,47.99774138,194.4319985,95.72669585
3/14/12 00:00,18.56965517,47.98937931,194.4319985,95.63458892
3/14/12 00:15,19.06965517,47.98937931,194.4319985,95.7587866
3/14/12 00:30,18.15896552,47.96404483,194.4319985,95.18979056
3/14/12 00:45,17.97068966,47.8897931,194.4319985,95.07655125
3/14/12 01:00,17.79172414,47.91586207,194.4319985,95.04132546
3/14/12 01:15,17.61758621,47.86225517,194.4319985,94.95942321
3/14/12 01:30,17.44793103,47.85779655,194.4319985,94.58682427
3/14/12 01:45,17.30137931,47.87544828,194.4319985,94.12159972
3/14/12 02:00,17.16689655,47.91632414,194.4319985,92.95471911
3/14/12 02:15,17.04724138,47.99613793,194.4319985,91.88173768
3/14/12 02:30,16.92517241,48.02133793,194.4319985,92.1532427
